处方编号,处方组成
P0241,血竭、半夏、乳香、没药、当归、土鳖虫、巴豆
P0242,茉莉根
P0243,没药、乳香、麝香
P0244,自然铜、乳香、没药、血竭、地龙、甜瓜子、骨碎补、合欢藤、续断、苏木、川归
P0245,黄麻、血余炭、乳香
P0246,没药、乳香、自然铜、滑石、龙骨、赤石脂、麝香
P0247,蜈蚣、自然铜、乳香、古铜钱、水蛭、没药
P0248,古铜钱、骨碎补、乳香、没药、土鳖虫、自然铜、血竭
P0249,接骨木、乳香、赤芍、当归、川芎、自然铜
P0250,古铜钱、甜瓜子、珍珠、狗胎骨
P0251,急性子、天灵盖
P0252,木香、沉香、乳香、没药、韭菜子、血竭、王瓜子、甜瓜子、雀爪、人参
P0253,地龙、龙骨、麝香、自然铜、川乌、滑石、土鳖虫、赤石脂、乳香、没药、鹿角
P0254,土鳖虫、骨碎补、自然铜、巴豆、乳香、血竭、没药、当归、芒硝、地龙
P0255,土鳖虫、乳香、没药、自然铜、大黄、骨碎补、血竭、当归
P0256,人参、黄芪、甘草、当归、芍药、生地黄、阿胶、紫菀
P0257,金刚莲、香加皮、马钱子、三七、西红花、橘红、接骨木
P0258,金刚莲、甘草、当归、五加皮、川芎、紫草、三棱、莪术、苏木、枳壳、青皮、见血清、红毛藤根、桂枝、大血藤、白酒
P0259,金刚莲、香加皮、马钱子、三七、见血清、血水草
P0260,木鳖子、穿山甲
P0261,马钱子、枳壳
P0262,黑虎膏、松香
P0263,当归、骨碎补、川芎、甘草、泽兰、附子、乳香、没药、桂枝、花椒、血竭、人参、自然铜、黄芪、麝香
P0264,延胡索、桃仁、杜仲、红花、牛膝、补骨脂、苍术、当归、羌活、肉桂、小茴香
P0265,自然铜、土鳖虫、水蛭、地龙、龙骨、降香、苏木、土狗、川乌、松节、乳香、没药、血竭、木香、白芍、麝香
P0266,荆芥、竹茹、当归、生地黄
P0267,马钱子、麻黄、乳香、没药
P0268,乳香、没药、马钱子、麻黄、土鳖虫、自然铜
P0269,牛黄、冰片、麝香、月石、朱砂、雄黄、芒硝、荜茇、金页
P0270,粪池内陈年砖头
P0271,三七、刘寄奴、骨碎补、白芨、白蔹、乳香、没药、血竭、儿茶
P0272,当归、熟地黄、白术、白芍、生地黄、杜仲、甘草、牡丹皮
P0273,红花、蒲黄、五灵脂、香附、骨碎补、自然铜、三七、赤芍、桃仁、泽兰、乳香、没药、血竭、虎骨、马钱子
P0274,寒食面、千口土、土马鬃、莴苣子、荆芥、纥勒蔓心、雄黄、乳香
P0275,自然铜、朱砂、孩儿牙齿、鸡子
P0276,当归、白芍、生地黄、白术、甘草、人参、苏木、乳香、没药
P0277,当归、白芍、白术、人参、生地黄、甘草、苏木、乳香、没药
P0278,鹭、红花、人参
P0279,桔梗、红花、苏木、芒硝、猪苓、泽泻、大黄、当归、桃仁
P0280,当归、川芎、白芍、生地黄、陈皮、白术、红花、桃仁
P0281,橘子
P0282,当归、大黄、韭菜子、蒲黄、蒲黄、茜草、桃仁、红花、陈皮、厚朴、枳壳、甘草
P0283,当归、土鳖虫、川芎、血竭、没药、麻黄、自然铜、乳香
P0284,肉桂、红花、当归、赤芍、牡丹皮、生地黄、乌药、胡索、桃仁、牛膝、杜仲、川芎、毛姜、续断、五加皮、防风、羌活、花粉、甘草、姜黄
P0285,大血藤、小血藤、川牛膝、牛膝、舒筋草、刺五加、白花草、白龙须、木通、接骨丹根、随手香、老鹳草、骨碎补、红毛七、松节、见血飞、金腰带、红泽兰、猪毛七、伸筋草、破骨风、黄龙须、八爪龙、胡椒、红酸浆草、筋骨草、乌骨鸡、石兰藤、还魂草
