"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760","Bacteria","Firmicutes","CFGB3068","OFGB3068","FGB3068","GGB9760",5,3,"",0.00344638669717453,0.000355661321533886,-9.05546063060624,2.01372181933281,6.89586446341396e-06,0.00157956969452015,0.000116751754860142,2.25501170012283e-06,0.00604474569341709,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB13532|o__OFGB13532|f__FGB13532|g__GGB13532","Bacteria","Firmicutes","CFGB13532","OFGB13532","FGB13532","GGB13532",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__GGB269","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Candidatus Methanomethylophilaceae","GGB269",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__GGB9785","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","GGB9785",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2873|o__OFGB2873|f__FGB2873|g__GGB9172","Bacteria","Firmicutes","CFGB2873","OFGB2873","FGB2873","GGB9172",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB4487","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB4487",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB4661","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","GGB4661",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4541","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4541",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB2659","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","GGB2659",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9445","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9445",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Gallibacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Gallibacter",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1460","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","GGB1460",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB5194|o__OFGB5194|f__FGB5194|g__GGB9466","Bacteria","Firmicutes","CFGB5194","OFGB5194","FGB5194","GGB9466",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Woodwardibium","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Woodwardibium",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB9176",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787|f__FGB1787|g__GGB4745","Bacteria","Tenericutes","CFGB1787","OFGB1787","FGB1787","GGB4745",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified|g__GGB36590","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria unclassified","Deltaproteobacteria unclassified","GGB36590",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Gallalistipes","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Gallalistipes",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Allobutyricicoccus","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Allobutyricicoccus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB45640","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB45640",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB1551","Bacteria","Bacteroidetes","CFGB635","OFGB635","FGB635","GGB1551",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9668","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9668",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918|f__FGB2918|g__GGB9239","Bacteria","Firmicutes","CFGB2918","OFGB2918","FGB2918","GGB9239",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB1387","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB1387",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Cryobacterium","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Cryobacterium",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae|g__Candidatus_Nanosynbacter","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharimonia","Candidatus Nanosynbacterales","Candidatus Nanosynbacteraceae","Candidatus Nanosynbacter",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009|f__FGB3009|g__GGB48538","Bacteria","Firmicutes","CFGB3009","OFGB3009","FGB3009","GGB48538",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Parascardovia",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Solibaculum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Solibaculum",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4251","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","GGB4251",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Melaminivora","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Melaminivora",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gelidibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gelidibacter",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1243","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB1243",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Tenericutes|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781","Bacteria","Tenericutes","CFGB343","OFGB343","FGB343","GGB781",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB1547","Bacteria","Bacteroidetes","CFGB4425","OFGB4425","FGB4425","GGB1547",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__CFGB76749|o__OFGB76749|f__FGB76749|g__GGB9421","Bacteria","Actinobacteria","CFGB76749","OFGB76749","FGB76749","GGB9421",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1385","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","GGB1385",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76688|o__OFGB76688|f__FGB76688|g__GGB4250","Bacteria","Firmicutes","CFGB76688","OFGB76688","FGB76688","GGB4250",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB50354|o__OFGB50354|f__FGB50354|g__GGB70875","Bacteria","Bacteroidetes","CFGB50354","OFGB50354","FGB50354","GGB70875",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Fannyhessea","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Fannyhessea",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Melissococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteria_unclassified|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB79890","Bacteria","Bacteria unclassified","CFGB2992","OFGB2992","FGB2992","GGB79890",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Heteroscilispira","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Heteroscilispira",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB9977|o__OFGB9977|f__FGB9977|g__GGB9606","Bacteria","Firmicutes","CFGB9977","OFGB9977","FGB9977","GGB9606",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76317|o__OFGB76317|f__FGB76317|g__GGB3095","Bacteria","Firmicutes","CFGB76317","OFGB76317","FGB76317","GGB3095",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pygmaiobacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pygmaiobacter",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Mediterranea",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3033","Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3033",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB6521","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","GGB6521",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB80000","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","GGB80000",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB3026|o__OFGB3026|f__FGB3026|g__GGB9508","Bacteria","Firmicutes","CFGB3026","OFGB3026","FGB3026","GGB9508",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB12788","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","GGB12788",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Arachnia",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__Brucella","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB12985","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB12985",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__GGB4272","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","GGB4272",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922|f__FGB75922|g__GGB34900","Bacteria","Firmicutes","CFGB75922","OFGB75922","FGB75922","GGB34900",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae|g__Isoptericola","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Promicromonosporaceae","Isoptericola",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB12789","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","GGB12789",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedens","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Candidatus Methanoperedenaceae","Candidatus Methanoperedens",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119|f__FGB9119|g__GGB4269","Bacteria","Firmicutes","CFGB9119","OFGB9119","FGB9119","GGB4269",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB74552","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","GGB74552",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB57353","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB57353",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Shuttleworthia","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Shuttleworthia",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Azospira","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76110|o__OFGB76110|f__FGB76110|g__GGB35456","Bacteria","Firmicutes","CFGB76110","OFGB76110","FGB76110","GGB35456",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shimwellia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shimwellia",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3446","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3446",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB342|o__OFGB342|f__FGB342|g__GGB778","Bacteria","Firmicutes","CFGB342","OFGB342","FGB342","GGB778",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB28319","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","GGB28319",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sneathia",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1872|o__OFGB1872|f__FGB1872|g__GGB4964","Bacteria","Firmicutes","CFGB1872","OFGB1872","FGB1872","GGB4964",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Niameybacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Niameybacter",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Metalachnospira","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Metalachnospira",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB628|o__OFGB628|f__FGB628|g__GGB1492","Bacteria","Bacteroidetes","CFGB628","OFGB628","FGB628","GGB1492",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79395","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB79395",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3424","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3424",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__GGB79964","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","GGB79964",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76238|o__OFGB76238|f__FGB76238|g__GGB3478","Bacteria","Firmicutes","CFGB76238","OFGB76238","FGB76238","GGB3478",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479|f__FGB11479|g__GGB1630","Bacteria","Bacteroidetes","CFGB11479","OFGB11479","FGB11479","GGB1630",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Gallimonas","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Gallimonas",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccaceae unclassified",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76560|o__OFGB76560|f__FGB76560|g__GGB18456","Bacteria","Firmicutes","CFGB76560","OFGB76560","FGB76560","GGB18456",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
