ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_100	1.056	11.435	0.122132796474126	0.304600225145682	NotSig	0.23	0.118	0.244	0.05	0.099	0.156	0.764	0.068	0.089	0.018	0.139	0.168	0.103	0.194
ASV_47	0.365	12.86	0.122149850013805	0.304600225145682	NotSig	0.546	0.432	0.537	0.456	0.496	0.525	0.57	0.692	0.354	0.359	0.377	0.616	0.417	0.47
ASV_123	0.386	11.05	0.123335060488435	0.304600225145682	NotSig	0.152	0.118	0.177	0.171	0.104	0.146	0.158	0.159	0.105	0.121	0.141	0.107	0.13	0.104
ASV_21	-0.55	13.182	0.127677973073077	0.310619546431516	NotSig	0.491	0.73	0.442	1.032	0.514	0.316	0.261	0.383	0.578	0.837	0.552	0.801	1.013	0.598
ASV_32	-0.371	12.812	0.131853984393461	0.316061756707854	NotSig	0.41	0.539	0.552	0.428	0.379	0.379	0.305	0.416	0.521	0.597	0.679	0.432	0.379	0.625
ASV_16	-0.578	13.781	0.139578514202304	0.329728953840227	NotSig	0.737	1.104	0.704	0.694	1.353	0.716	0.368	0.588	1.151	0.76	0.674	0.864	2.218	0.958
ASV_50	0.582	12.777	0.142706705106656	0.332302756176928	NotSig	0.552	0.368	0.39	0.215	0.34	0.87	0.632	0.864	0.54	0.507	0.216	0.344	0.295	0.303
ASV_116	1.528	11.53	0.151917913093258	0.348769293439451	NotSig	0.262	0.096	0.021	0.092	0.021	0.021	1.382	0.033	0.159	0.053	0.072	0.011	0.227	0.052
ASV_20	-0.945	13.685	0.161021955976847	0.364535817003141	NotSig	0.591	1.112	0.576	1.217	0.223	0.689	0.404	0.437	0.678	0.779	0.297	0.374	4.23	0.314
ASV_28	-0.584	13.568	0.167740652805743	0.374544197360768	NotSig	0.644	0.958	0.802	0.889	0.151	1.169	0.344	0.506	1.081	1.199	0.676	0.891	1.232	0.672
ASV_66	-0.451	11.584	0.190068822161892	0.418665108275519	NotSig	0.167	0.232	0.213	0.31	0.101	0.133	0.109	0.134	0.254	0.19	0.316	0.215	0.171	0.246
ASV_461	0.697	10.771	0.196579149998994	0.427232019331146	NotSig	0.138	0.087	0.061	0.078	0.044	0.334	0.114	0.194	0.049	0.087	0.136	0.143	0.019	0.087
ASV_378	-0.464	12.475	0.22045871279578	0.472825923496212	NotSig	0.309	0.439	0.183	0.66	0.382	0.186	0.168	0.276	0.343	0.541	0.46	0.501	0.292	0.494
ASV_133	0.329	10.939	0.233157975009876	0.493568180865062	NotSig	0.139	0.111	0.162	0.131	0.099	0.196	0.098	0.148	0.13	0.103	0.141	0.085	0.103	0.106
ASV_38	-0.623	12.815	0.239631979059744	0.500769392137669	NotSig	0.373	0.57	0.344	0.159	0.215	0.567	0.378	0.574	0.592	1.632	0.194	0.341	0.412	0.248
ASV_59	0.272	12.211	0.246461258339905	0.502421156593221	NotSig	0.335	0.282	0.299	0.369	0.348	0.355	0.308	0.331	0.246	0.327	0.297	0.27	0.306	0.248
